EFF_DATE,MAA_ID,FREQ_SEQ,FAC_ID,FAC_NAME,COMMERCIAL_FREQ,COMMERCIAL_CHART_FLAG,MIL_FREQ,MIL_CHART_FLAG
2025/02/20,ACO001,1,ZDV,DENVER,128.37,N,379.95,N
2025/02/20,ACO002,1,ZDV,DENVER,133.4,N,387.15,N
2025/02/20,APA001,1,,WASHINGTON HUB FSS,123.6,N,,
