EFF_DATE,FACILITY_ID,FACILITY_TYPE,STATE_CODE,COUNTRY_CODE,RADAR_TYPE,RADAR_NO,RADAR_HRS,REMARK
2025/03/20,DFW,AIRPORT,TX,US,ASR,2,24,(RADAR_TYPE) ASR-9 SERVES AS ADDNL ASR FOR DALLAS/FORT WORTH INTL AND ALSO SERVES DALLAS LOVE FIELD.
2025/03/20,DLF,AIRPORT,TX,US,ASR,1,24,(RADAR_TYPE) DASR NO-NOTAM MP: 0600-1200Z MON-FRI.
2025/03/20,DLH,AIRPORT,MN,US,ASR,1,24,
2025/03/20,DMA,AIRPORT,AZ,US,ASR,1,24,
2025/03/20,DMA,AIRPORT,AZ,US,PAR,2,24,
2025/03/20,DOV,AIRPORT,DE,US,ASR,1,24,(RADAR_TYPE) NO-NOTAM MP:  0500-1100Z++MON-FRI (1000/3+1).
2025/03/20,DPA,AIRPORT,IL,US,ASR,1,24,
2025/03/20,DSM,AIRPORT,IA,US,ASR,1,24,
2025/03/20,DTW,AIRPORT,MI,US,ASR,1,24,
2025/03/20,DYS,AIRPORT,TX,US,ASR,1,24,
2025/03/20,EDF,AIRPORT,AK,US,ASR,1,24,
2025/03/20,EDF,AIRPORT,AK,US,PAR,2,24,
2025/03/20,EDW,AIRPORT,CA,US,ASR,2,24,
2025/03/20,ELM,AIRPORT,NY,US,ASR,1,24,
2025/03/20,ELP,AIRPORT,TX,US,ASR,1,24,
2025/03/20,END,AIRPORT,OK,US,ASR,1,0700-1900 MON-FRI; 1300-1700 SUN. EXCEPT HOLS.,"(RADAR_TYPE) MP 1000-1230Z++ MON-FRI, 1400-2200Z++ SAT, 1400-1800Z++ SUN."
2025/03/20,ERI,AIRPORT,PA,US,ASR,1,0600-0000,
2025/03/20,EUG,AIRPORT,OR,US,ASR,1,0600-0000,
2025/03/20,EVV,AIRPORT,IN,US,ASR,1,0600-2300,
2025/03/20,EWR,AIRPORT,NJ,US,ASR,1,24,
2025/03/20,FAI,AIRPORT,AK,US,ASR,1,24,
