EFF_DATE,PJA_ID,FAC_ID,FAC_NAME,LOC_ID,COMMERCIAL_FREQ,COMMERCIAL_CHART_FLAG,MIL_FREQ,MIL_CHART_FLAG,SECTOR,CONTACT_FREQ_ALTITUDE
2025/02/20,PNE001,,LINCOLN APP/DEP CON,CEK,124.0,N,,,,
2025/02/20,PNE001,ZMP,MINNEAPOLIS,CEK,128.75,N,,,,
2025/02/20,PNE007,ZDV,DENVER,ZDV,132.7,Y,,,,
2025/02/20,PNJ011,ABE,LEHIGH VALLEY INTL,ABE,124.0,N,,,,
2025/02/20,PNJ012,ACY,ATLANTIC CITY INTL,ACY,134.25,Y,,,,
2025/02/20,PNM007,ABQ,ALBUQUERQUE INTL SUNPORT,ABQ,123.9,N,354.1,N,SOUTH,14500.0
2025/02/20,PNV005,L30,LAS VEGAS TRACON,L30,125.475,N,,,,
2025/02/20,PNV010,L30,LAS VEGAS TRACON,L30,125.475,N,,,,
2025/02/20,PNY030,N90,NEW YORK TRACON,N90,118.0,N,,,,
2025/02/20,PNY031,ROC,FREDERICK DOUGLASS/GREATER ROCHESTER INTL,ROC,123.7,Y,,,,
2025/02/20,PNY032,BUF,BUFFALO NIAGARA INTL,BUF,126.5,Y,,,,
2025/02/20,POH006,CAK,AKRON-CANTON RGNL,CAK,125.5,Y,371.875,N,,
2025/02/20,POH020,CMH,JOHN GLENN COLUMBUS INTL,CMH,125.95,Y,,,,
2025/02/20,POH027,CLE,CLEVELAND-HOPKINS INTL,CLE,124.2,Y,,,,
2025/02/20,POK017,TUL,TULSA INTL,TUL,124.0,Y,,,,
2025/02/20,POR002,EUG,MAHLON SWEET FLD,EUG,119.6,Y,,,,
2025/02/20,POR004,PDX,PORTLAND INTL,PDX,118.1,Y,,,,
2025/02/20,POR007,PDX,PORTLAND INTL,PDX,118.1,Y,,,,
2025/02/20,POR009,ZSE,SEATTLE,ZSE,126.15,N,,,,
2025/02/20,POR010,ZSE,SEATTLE,ZSE,126.15,N,,,,
2025/02/20,POR011,ZSE,SEATTLE,ZSE,126.15,N,,,,
2025/02/20,POR012,ZSE,SEATTLE,ZSE,126.15,N,,,,
2025/02/20,PPA025,AVP,WILKES-BARRE/SCRANTON INTL,AVP,120.95,Y,,,,
2025/02/20,PPA026,ABE,LEHIGH VALLEY INTL,ABE,124.45,N,,,,
2025/02/20,PRI001,PVD,RHODE ISLAND TF GREEN INTL,PVD,125.75,Y,,,,
2025/02/20,PRI003,PVD,RHODE ISLAND TF GREEN INTL,PVD,123.67,N,,,,
2025/02/20,PRI004,PVD,RHODE ISLAND TF GREEN INTL,PVD,119.45,N,,,,
2025/02/20,PTN021,TRI,TRI-CITIES,TRI,125.5,Y,317.5,Y,,
2025/02/20,PTN022,,MEMPHIS CENTER WATCH DESK,ZME,122.8,N,,,,
2025/02/20,PTX006,,CADDO MILLS AIRPORT,7F3,122.8,Y,,,,
2025/02/20,PTX006,ZFW,FORT WORTH,ZFW,132.02,Y,,,,
2025/02/20,PTX014,I90,HOUSTON TRACON,I90,134.45,Y,,,,
2025/02/20,PTX020,ZFW,FORT WORTH,ZFW,124.875,Y,307.2,Y,,
2025/02/20,PTX031,ZFW,FORT WORTH,ZFW,127.15,N,,,,
2025/02/20,PTX036,CRP,CORPUS CHRISTI INTL,CRP,125.4,Y,,,,
2025/02/20,PTX037,ZFW,FORT WORTH,ZFW,132.02,Y,,,,
2025/02/20,PTX038,ACT,WACO RGNL,ACT,127.65,Y,,,,
2025/02/20,PTX040,,40TH AIRLIFT SQUADRON,SJT,139.75,Y,314.2,Y,,
2025/02/20,PTX041,,CAMP BOWIE TRAINING FACILITY,BWD,139.75,Y,314.2,Y,,
2025/02/20,PTX042,ZFW,FORT WORTH,ZFW,132.6,Y,269.05,Y,,
2025/02/20,PTX044,AUS,AUSTIN-BERGSTROM INTL,AUS,123.55,Y,,,,
2025/02/20,PTX046,ZHU,HOUSTON,BRO,120.57,Y,,,,
2025/02/20,PTX047,ZHU,HOUSTON,BRO,120.57,Y,,,,
2025/02/20,PTX048,ZHU,HOUSTON,BRO,134.45,Y,,,,
2025/02/20,PTX049,ZHU,HOUSTON,BRO,120.57,Y,,,,
2025/02/20,PTX050,ZHU,HOUSTON,BRO,134.8,Y,,,,
2025/02/20,PTX056,,GRAY APPROACH,GRK,120.075,Y,323.15,Y,,
2025/02/20,PVA019,PCT,POTOMAC TRACON,PCT,126.8,Y,307.2,N,,
2025/02/20,PWA017,MWH,GRANT COUNTY INTL,MWH,126.4,Y,,,,
2025/02/20,PWA029,MWH,GRANT COUNTY INTL,MWH,126.4,Y,385.5,Y,,
2025/02/20,PWA029,ZSE,SEATTLE,ZSE,126.1,Y,291.6,Y,(18),
2025/02/20,PWA030,ZSE,SEATTLE,ZSE,126.1,Y,291.6,N,(18),
2025/02/20,PWI014,MKE,GENERAL MITCHELL INTL,MKE,119.65,N,,,,
2025/02/20,PWV017,HTS,TRI-STATE/MILTON J FERGUSON FLD,HTS,119.75,N,,,,
