EFF_DATE,HP_NAME,HP_NO,STATE_CODE,COUNTRY_CODE,TAB_NAME,REF_COL_NAME,REF_COL_SEQ_NO,REMARK
2025/03/20,SKILS WP*MD*K6,3,MD,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,SOCKY WP*CO*K2,1,CO,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 230K ICON
2025/03/20,SPNCR WP*DE*K6,1,DE,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,SPUDS INT*PA*K6,1,PA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,SPUDS WP*PA*K6,2,PA,US,HOLDING_PATTERN,GENERAL_REMARK,2,CHART 210K ICON.
2025/03/20,STEFE INT*PA*K6,1,PA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,STEFE WP*PA*K6,2,PA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,TAGER INT*AK*PA,1,AK,US,HOLDING_PATTERN,GENERAL_REMARK,1,210K ICON
2025/03/20,TALKEETNA VOR/DME*AK,1,AK,US,HOLDING_PATTERN,GENERAL_REMARK,1,PAT 1 CHART 210 ICON
2025/03/20,TARPO INT*FL*K7,1,FL,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART ONLY ON SURFN STAR
2025/03/20,TOBEY INT*NV*K2,1,NV,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,TRISH INT*MD*K6,1,MD,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,TRISH WP*MD*K6,2,MD,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,TRISH WP*MD*K6,3,MD,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,UBUCK WP*NJ*K6,2,NJ,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 90K ICON
2025/03/20,UCAXE WP*AR*K4,1,AR,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 230K ICON
2025/03/20,UDUCY WP*MD*K6,1,MD,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 230K ICON
2025/03/20,UFTAC INT*MA*K6,3,MA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 200K ICON
2025/03/20,VALRE INT*NY*K6,1,NY,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,VALRE INT*NY*K6,3,NY,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,VVTEN WP*MI*K5,1,MI,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 200K ICON
2025/03/20,WANAX WP*TX*K4,1,TX,US,HOLDING_PATTERN,GENERAL_REMARK,1,SPECIAL DP
2025/03/20,WATJA WP*NJ*K6,1,NJ,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,WAVES WP*VA*K6,1,VA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 250K ICON
2025/03/20,WEEED WP*TX*K4,1,TX,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 265 ICON
2025/03/20,WEGOT INT*CT*K6,1,CT,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,WINSLOW VORTAC*AZ,2,AZ,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,WISKE WP*WV*K6,3,WV,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,WNDYL WP*NJ*K6,2,NJ,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON
2025/03/20,WOBUB WP*MD*K6,1,MD,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 175K ICON.
2025/03/20,WOODVILLE NDB*NC,1,NC,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 175K ICON.
2025/03/20,YALER INT*CT*K6,1,CT,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,YARDLEY VOR/DME*PA,1,PA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,YARDLEY VOR/DME*PA,5,PA,US,HOLDING_PATTERN,GENERAL_REMARK,1,CHART 210K ICON.
2025/03/20,YASCY WP*AK*PA,1,AK,US,HOLDING_PATTERN,GENERAL_REMARK,1,175K ICON
2025/03/20,YICAX WP*AK*PA,1,AK,US,HOLDING_PATTERN,GENERAL_REMARK,1,175K ICON
2025/03/20,ZEVMO WP*AK*PA,1,AK,US,HOLDING_PATTERN,GENERAL_REMARK,1,175K ICON
2025/03/20,ZUNI VORTAC*NM,1,NM,US,HOLDING_PATTERN,GENERAL_REMARK,1,210K ICON
